Name,Price,Publication,Description,Author
রিসেন্ট সহকারি নিয়োগ লিখিত,380,রিসেন্ট পাবলিকেশন,,
পিএসসি নন ক্যাডার লিখিত জব,400,রিসেন্ট পাবলিকেশন,,
গভার্মেন্ট ব্যাংক,650,রিসেন্ট পাবলিকেশন,,
প্রাইভেট ব্যাংক,650,রিসেন্ট পাবলিকেশন,,
বিমান বাংলাদেশ,290,রিসেন্ট পাবলিকেশন,,
এনএসআই,200,রিসেন্ট পাবলিকেশন,,
Arts,250,রিসেন্ট পাবলিকেশন,,
ইসলামি ব্যাংক,340,রিসেন্ট পাবলিকেশন,,
"BIBM, IBA, FBA, Arts 4 in One",480,রিসেন্ট পাবলিকেশন,,
অফিস সহায়ক,340,রিসেন্ট পাবলিকেশন,,
বিষয়ভিত্তিক জব সলিউশন PRO,290,রিসেন্ট পাবলিকেশন,,
পেট্রো বাংলা,390,রিসেন্ট পাবলিকেশন,,
বিষয়ভিত্তিক রিসেন্ট জব সলিউশন PRO,290,রিসেন্ট পাবলিকেশন,,
BIBM টপিকস ভিত্তিক,380,রিসেন্ট পাবলিকেশন,,
ব্যাংক ভোকাবুলারি,300,রিসেন্ট পাবলিকেশন,,
MCQ & Written BIBM এনালাইসিস,500,রিসেন্ট পাবলিকেশন,,
পল্লী বিদ্যুৎ,250,রিসেন্ট পাবলিকেশন,,
কম্পিউটাার অপারেটর,270,রিসেন্ট পাবলিকেশন,,
কনসেপচুয়াল ইস্যুজ,220,রিসেন্ট পাবলিকেশন,,
PSC  ননক্যাডার MCQ কালো,450,রিসেন্ট পাবলিকেশন,,
বিষয়ভিত্তিক মিনি জব সলিউশন MCQ,280,রিসেন্ট পাবলিকেশন,,
বিষয়ভিত্তিক জব সলিউশন লিখিত,280,রিসেন্ট পাবলিকেশন,,
Recent Job ১৫ তম,240,রিসেন্ট পাবলিকেশন,,
এমিনেন্ট ৪৯ হিসাববিজ্ঞান,580,রিসেন্ট পাবলিকেশন,,
পানকৌড়ি রাজাশাহী মানবিক,355,পানকৌড়ি,ভর্তি,
পানকৌড়ি রাজাশাহী বিজ্ঞান,355,পানকৌড়ি,ভর্তি,
পানকৌড়ি রাজশাহী বানিজ্য,265,পানকৌড়ি,ভর্তি,
পানকৌড়ি ঢাকা বিজ্ঞান,355,পানকৌড়ি,ভর্তি,
পানকৌড়ি ঢাকা মানবিক,355,পানকৌড়ি,ভর্তি,
পানকৌড়ি ঢাকা বাণিজ্য,290,পানকৌড়ি,ভর্তি,
পানকৌড়ি চট্টগ্রাম বাণিজ্য,355,পানকৌড়ি,ভর্তি,
পানকৌড়ি চট্টগ্রাম B/D,355,পানকৌড়ি,ভর্তি,
পানকৌড়ি গুচ্ছ বিজ্ঞান,470,পানকৌড়ি,ভর্তি,
পানকৌড়ি গুচ্ছ মানবিক,470,পানকৌড়ি,ভর্তি,
প্যারাগন প্রশ্ন মানবিক,290,প্যারাগন,ভর্তি,
প্যারাগন লিখিত বৈশাখী,235,প্যারাগন,ভর্তি,
প্যারাগন মার্কেটিং,260,প্যারাগন,ভর্তি,
প্যারাগন ফান্ডামেন্টাল বিজনেস,285,প্যারাগন,ভর্তি,
প্যারাগন RABS,410,প্যারাগন,ভর্তি,
প্যারাগন ADROIT,405,প্যারাগন,ভর্তি,
কিংবদন্তী বাংলা,575,,ভর্তি,
ধ্রুব বাংলা,440,,ভর্তি,
টেক্কা বাংলা ফিক্সট,230,,ভর্তি,
IQ ছায়া মঞ্চ,150,ছায়া মঞ্চ,ভর্তি,
ছায়া মঞ্চ সাইন্স সামিট,450,ছায়া মঞ্চ,ভর্তি,
ছায়া মঞ্চ জাহাঙ্গীরনগর একত্রে,290,ছায়া মঞ্চ,ভর্তি,
জাহাঙ্গীরনগর GK লিজেন্ড,265,,ভর্তি,
NEED ENGLISH,475,,ভর্তি,
SURE 60 II,395,,ভর্তি,
ফ্রি হ্যান্ড রাইটিং,425,,ভর্তি,
বেসিক ভোকাবুলারি ওয়াসিক,270,,ভর্তি,
অগ্রদূত বিশ্ববিদ্যালয়,470,,ভর্তি,
জোবায়ের'স জিকে,440,জোবায়ের'স,ভর্তি,
জোবায়ের'স মৌলিক জিকে,315,জোবায়ের'স,ভর্তি,
জোবায়ের'স বস,125,জোবায়ের'স,ভর্তি,
জোবায়ের'স ALL IN ONE,220,জোবায়ের'স,ভর্তি,
জোবায়ের'স মৌলিক TEST,105,জোবায়ের'স,ভর্তি,
মিহির'স জিকে,410,মিহির'স,ভর্তি,
মিহির'স ফাইনাল সাজেশন,200,মিহির'স,ভর্তি,
খন্দকার GK,375,খন্দকার,ভর্তি,
জাহাঙ্গীরনগর GK,350,,ভর্তি,
APEX ENGLISH,480,,ভর্তি,
অভিযাত্রী বিশ্ববিদ্যালয়,515,অভিযাত্রী,ভর্তি,
অভিযাত্রী ATM,255,অভিযাত্রী ,ভর্তি,
অভিযাত্রী BCS বাংলা,420,অভিযাত্রী ,ভর্তি,
 অভিযাত্রী নোঙর,200,অভিযাত্রী ,ভর্তি,
TEXT HACKS 26 EXAM,365,TEXT HACKS,ভর্তি,
TEXT HACKS,340,TEXT HACKS,ভর্তি,
প্রিভিউ মানবিক,555,প্রিভিউ,ভর্তি (2025),
প্রিভিউ মানবিক মডেল,305,প্রিভিউ,ভর্তি,
প্রিভিউ বাণিজ্য মডেল প্রশ্ন,415,প্রিভিউ,ভর্তি,
প্যানাসিয়া TEXT,340,প্যানাসিয়া,ভর্তি,
প্যানাসিয়া ভোকাবুলারি,320,প্যানাসিয়া,ভর্তি,
প্যানাসিয়া মানবিক মডেল,200,প্যানাসিয়া,ভর্তি,
প্যানাসিয়া গ্রামার,250,প্যানাসিয়া,ভর্তি,
প্যানাসিয়া NU সাকসেস,290,প্যানাসিয়া,ভর্তি,
প্রিভিউ জাতীয় বিশ্ববিদ্যালয়,380,প্রিভিউ,ভর্তি,
আলার GK ফ্লাশ,195,শীকর,চাকুরি,
শীকর বাংলা ভাষা,290,শীকর,,
শীকর বাংলা প্রশ্ন পাঠ,310,শীকর,,
শীকর গ্রন্থ সমালোচনা,170,শীকর,,
শীকর বাংলা সাহিত্য লিখিত,210,শীকর,,
শীকর বাংলাদেশ লিখিত,420,শীকর,,
মানচিত্রের সহজ পাঠ,210,,,
মানচিত্রের সহজ পাঠ - হাসান জাহিদ,240,,,
শাকিল আহমেদ ট্রান্সলেশন হ্যান্ড নোট,200,,,
MENS বার্ষিক সংকলন,220,,,
সংবিধান সাদা,170,,,
অর্থনৈতিক সমীক্ষা,120,,,
চাকরির বিধানাবলী - মোহাম্মদ ফিরোজ মিয়া,430,,,
আলাাল কম্পিউটার Hour,300,আলাাল,,
আলাাল GK Flash Hour,250,আলাাল,,
আলাাল ফাইনাল সাজেশন,160,আলাাল,,
ফেনম IBA পেট্রোবাংলা,485,ফেনম,,
ফেনম JOB Solution,1030,ফেনম,,
ব্যাংক রিটেন ম্যাথ,390,,,ইউসুফ আলী 
FBS ব্যাংক ১+,290,,,ইউসুফ আলী 
CLIFFS টোটাল হলুদ,95,,,
বেরনস টোফেল,105,,,
টোফেল ভিউ মাছরাঙা,280,,,
IELTS (১ থেকে ১৯),30,,,
লেখক প্রকাশন প্রাইমারী ,310,,,
বোনাস টিপু সুলতান,150,,,
জাহিদ সোহেল মানচিত্র,80,,,
লার্নিং স্কুল Job Math,290,,,
লার্নিং স্কুল শিক্ষক নিবন্ধন শর্ট,270,,,
নিউরন ডিপ্লোমা মিডওয়াইফারি,420,,,
নিউরন সিনিয়র নার্স,370,,,
নিউরন বিএসসি নার্স,450,,,
নিউরন মডেল ও প্রশ্ন,220,,,
শাহীন ম্যাথ,510,,,
ওয়ার্ড স্মার্ট ইংরেজি,10000,,,
ওয়ার্ড স্মার্ট বাংলা,170,,,
আগালওয়াল ম্যাথ ইংরেজি ভার্সন,195,,,
আগালওয়াল ম্যাথ বাংলা সাদা পাতা,290,,,
XX মিসটেক,50,,,
প্রিজম ISSB ডিফেন্স গাইড,480,,,
প্রিজম সৈনিক নিয়োগ গাইড,330,,,
সাহিত্য জিজ্ঞাসা সৌমিত্র শেখর,325,,,
আযা খাঁন সংবিধান,330,,,
CRACK দ্য প্রিভিয়াস কশ্চিন,490,,,
CRACK  Bank Viva,200,,,
Self সাজেশন কম্পিউটার,290,,,
Self সাজেশন বিজ্ঞান,290,,,
সাইত Hour লিখিত,425,,,
বিদ্যাবাড়ি শিক্ষক নিবন্ধন ডাইজেস্ট,455,,,
বিদ্যাবাড়ি শিক্ষক নিবন্ধন ডাইজেস্ট,445,,,
লানিং স্কুল গ্রামার সদরউদ্দীন,85,,,
ভোকাবুলারি লতিফ,310,,,
বিদ্যাবাড়ি BCS,520,,,
বাংলা ভাাষা,290,শীকর,,
বাংলা প্রশ্ন পাঠ,310,শীকর,,
গ্রন্থ সমালোচনা,170,শীকর,,
বাংলা সাহিত্য লিখিত,210,শীকর,,
আর্থনৈতিক সমীক্ষা,120,,,
লার্নিং স্কুল Job English,290,,,
লার্নিং স্কুল Job Digest ,10000,,,
লার্নিং স্কুল শিক্ষক নিবন্ধন শর্ট,270,,,
ওয়ার্ড স্মার্ট ইংরেজি,110,,,
ওয়ার্ড স্মার্ট বাংংলা,170,,,
আগারওয়াল ম্যাথ ইংরেজি ভার্সন,195,,,
আগারওয়াল ম্যাথ বাংলা সাদাপাতা,290,,,
কমন মিসটেক,50,,,
সংবিধান,330,আরিফ খাঁন,,আরিফ খাঁন
নিবন্ধন,280,শাহিন স্যার,,শাহিন স্যার
এমিনেন্ট BIBM,470,এমিনেন্ট,,
এমিনেন্ট IBA,440,এমিনেন্ট,,
এমিনেন্ট সেভেন ইন ওয়ান,650,এমিনেন্ট,,
এমিনেন্ট বাংলাদেশ ব্যাংক,380,এমিনেন্ট,,
এমিনেন্ট  বিদ্যুৎ,380,এমিনেন্ট,,
এমিনেন্ট Arts,220,এমিনেন্ট,,
এমিনেন্ট ব্যাংক ভোকাবুলারি,380,এমিনেন্ট,,
ব্যাংক স্পট লাইট GK,230,এমিনেন্ট,,
Test View,220,এমিনেন্ট,,
বার্ষিক সম্পাদক,185,কারেন্ট অ্যাফেয়ার্স,,
দি এনাটমি অব ওয়াল্ড পলিটিক্স,390,,,
বেসিক ভিউ,540,বেসিক ভিউ,,
বেসিক ভিউ আন্তর্জাতিক লিখিত,230,বেসিক ভিউ,,
বেসিক ভিউ বাংলাদেশ লিখিত,310,বেসিক ভিউ,,
প্রিলি হাইলাইট,380,লেখক,,
প্রিলি রিভিউ,555,লেখক,,
রিটেন রিভিউ,300,লেখক,,
প্রাইমারী,310,লেখক,,
A Gateway to English Literature,240,,,Shamim Ahmed
সাইন্স ভিউ,215,,,
অদিতি বিসিএস মডেল,320,,,
রুট GK,155,,,
OBJECTIVE MATH,300,,,
শিক্ষক নিবন্ধন মডেল,250,জবস পাসওয়ার্ড,,
আল ইন ওয়ান / All in One,450,জবস পাসওয়ার্ড,,
৩য় ৪র্থ লিখিত,390,জবস পাসওয়ার্ড,,
লতিফুর'স ফোকাস রাইটিং,300,,,লতিফুর রহমান লিটন
Admission ভোকাবুলারি,125,,,
কম্পিউটার শেখার সহজ পদ্ধতি,340,,,মোঃ জসীম উদ্দীন
প্যাসেজ গ্রামার সাদা,365,প্যাসেজ / Passage,,S. M. Zakir Hussain
প্যাসেজ গ্রামার নিউজ,265,প্যাসেজ / Passage,,S. M. Zakir Hussain
Practical English,160,,,
অন্বেষণ বাংলা,355,,,
Master ইংরেজি,570,,,
আজকের বিশ্ব,365,,,
Class Rool Grammar,520,,,
Crazy Spoken,320,,,
Self Preparation Bangla,220,Self Preparation,,
Self Preparation English,280,Self Preparation,,
Self Preparation Math,185,Self Preparation,,
Self Preparation Gk,280,Self Preparation,,
How to Learn BCS Written English,470,,,
ম্যানুয়াল ৪৯ BCS বিশেষ বাংলা,260,ম্যানুয়াল,,
ম্যানুয়াল ৪৯ অর্থনীতি,300,,,
MCQ ম্যাজিক রফিক স্যার,525,,,
শীকর ৪৯তম প্রশ্নপাঠ,330,,,
সাইফুর্স জিরো ঠু হিরো,490,সাইফুর্স,,
সাইফুর্স স্টুডেন্ট ভোকাবুলারি / Student Vocabulary,130,সাইফুর্স,,
সাইফুর্স ভোকাবুলারি বড়,490,সাইফুর্স,,
সাইফুর্স Math,570,সাইফুর্স,,
সাইফুর্স ট্রান্সলেশন,370,সাইফুর্স,,
সাইফুর্স পাসপোর্ট গ্রামার,480,সাইফুর্স,,
"সাইফুর্স Spoken 1, 2, 3",85,সাইফুর্স,,
সাইফুরস এনালজি,250,সাইফুর্স,,
সাইফুর্স 4G গ্রামার,420,সাইফুর্স,,
সাইফুর্স HSC ইংরেজি প্রথম,320,সাইফুর্স,,
অগ্রদূত বাংলা,390,অগ্রদূত,,
অগ্রদূত Job Solution,750,অগ্রদূত,,
অগ্রদূত Recent Job,230,অগ্রদূত,,
অগ্রদূত বাংলাদেশ,350,অগ্রদূত,,
অগ্রদূত Job Solution Plus,310,অগ্রদূত,,
অগ্রদূত আন্তর্জাতিক,350,অগ্রদূত,,
অগ্রদূত Math,450,অগ্রদূত,,
অগ্রদূত শিক্ষক নিবন্ধন,500,অগ্রদূত,,
অগ্রদূত ইংরেজি,500,অগ্রদূত,,
অগ্রদূত প্রাথমিক,450,অগ্রদূত,,
অগ্রদূত ATEO,350,অগ্রদূত,,
অগ্রদূত কনফার্ম ডাইগেস্ট,510,অগ্রদূত,,
অগ্রদূত বাংলা লিখিত,540,অগ্রদূত,,
অগ্রদূত বিশ্ববিদ্যালয় বাংলা,500,অগ্রদূত,,
প্রিসেপটর্স প্রাইমারি ডাইজেস্ট,550,প্রিসেপটর্স,,
প্রিসেপটর্স BCS প্রশ্ন,390,প্রিসেপটর্স,,
প্রিসেপটর্স BCS মডেল,330,প্রিসেপটর্স,,
প্রিসেপটর্স প্রিলি ডাইজেস্ট,550,প্রিসেপটর্স,,
প্রিসেপটর্স ট্রান্সলেশন,280,প্রিসেপটর্স,,
গাজী মিজানুর শিক্ষক নিবন্ধন,510,,,গাজী মিজানুর
গাজী মিজানুর প্রাইমারি নিয়োগ,5115,,,গাজী মিজানুর
গাজী মিজানুর BCS এনালাইসিসি,515,,,গাজী মিজানুর
অ্যাসিওরেন্স BCS প্রশ্ন ব্যাংক,280,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স প্রিলি ডাইজেস্ট,585,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স BCS মডেল,360,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স Recent Job,280,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স ৪৯তম ডাইজেস্ট,460,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স পুলিশ কন্সটেবল,210,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স সাব ইন্সপেক্টর,510,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স BCS লিখিত বাংলা,610,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স BCS লিখিত ইংরেজি,610,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স BCS লিখিত বাংলাদেশ,610,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স BCS লিখিত আন্তর্জাতিক,610,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স BCS লিখিত মানষিক,610,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স BCS লিখিত বিজ্ঞান,610,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স BCS লিখিত গণিত,550,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স BCS লিখিত সাপ্লিমেন্ট,110,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স প্রাথমিক প্রশ্নব্যাংক,250,অ্যাসিওরেন্স,,
অ্যাসিওরেন্স BCS লিখিত ডাইজেস্ট,1020,অ্যাসিওরেন্স,,
খায়রুল বেসিক ম্যাথ,545,,,মোঃ খাইরুল আলম
খায়রুল ব্যাংক ম্যাথ MCQ,450,,,মোঃ খাইরুল আলম
খায়রুল ব্যাংক রিটেন ম্যাথ,390,,,মোঃ খাইরুল আলম
খায়রুল মানসিক,320,,,মোঃ খাইরুল আলম
ইনসেপশন BCS ডাইজেস্ট,600,ইনসেপশন,,
ইউনিক BCS ডাইজেস্ট,560,,,
ইউনিক নৈতিকতা,90,,,
ইউনিক রচনা,320,ইউনিক,,
ইউনিক বাংলাদেশ লিখিত,440,ইউনিক,,
ইউনিক আন্তর্জাতিক লিখিত,320,ইউনিক,,
আশরাফুল BCS Math ককটেল লিখিত,585,,,আশরাফুল
আশরাফুল BCS Math ককটেল প্রিলি,520,,,আশরাফুল
আশরাফুল সায়েন্স ককটেল লিখিত,585,,,আশরাফুল
আশরাফুল ককটেল প্রিলি সায়েন্স,310,,,আশরাফুল
সাইকা ৩য় ও ৪র্থ শেণি MCQ,440,সাইকা,,
সাইকা ৩য় ও ৪র্থ শেণি লিখিত,440,সাইকা,,
মহাবিশ্ব‌ ও পৃথিবী,170,,,
,,,,
,,,,
,,,,
, ,,,
